completed	failure	Fix typo in `error_overdepending` field	Tests	fix_error_overdepending_typo	pull_request	4684466533	1h13m25s	15h
completed	failure	minor skeleton cleanups	Tests	skeleton-cleanups	pull_request	4681046070	1h43m49s	1d
completed	success	Enable `xattr` test for macOS	Tests	xattr-test	pull_request	4680316336	1h56m59s	1d
completed	cancelled	Enable `xattr` test for macOS	Tests	xattr-test	pull_request	4679491004	1h24m38s	1d
completed	failure	Require the source when rendering if load_file_data is used (#4817)	Tests	main	push	4677691542	2h0m56s	1d
completed	failure	Convert `setup.py` to `pyproject.toml` using hatch build system (#4840)	Tests	main	push	4676482877	2h31m28s	1d
completed	failure	Replace makefile with Path.touch (#4844)	Tests	main	push	4675238073	3h16m38s	1d
completed	success	Add svn source credential support	Tests	svn_credential_patch-1	pull_request	4674642291	1h27m1s	16h
completed	cancelled	Add svn source credential support	Tests	svn_credential_patch-1	pull_request	4674636961	1m24s	1d
completed	cancelled	Add svn source credential support	Tests	svn_credential_patch-1	pull_request	4674628184	2m16s	1d
completed	failure	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)` (#…	Tests	main	push	4674548282	1h35m15s	1d
completed	success	Require the source when rendering if load_file_data is used	Tests	load_toml_from_source	pull_request	4668688474	2h18m22s	1d
completed	success	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)`	Tests	cleanup	pull_request	4641080875	34m6s	5d
completed	cancelled	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)`	Tests	cleanup	pull_request	4640992293	14m3s	6d
completed	cancelled	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)`	Tests	cleanup	pull_request	4640989277	51s	6d
completed	failure	Rename `ns_cfg()` to `get_selectors()` in `conda_build.metadata` (#4837)	Tests	main	push	4640282855	1h30m17s	6d
completed	success	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)`	Tests	cleanup	pull_request	4639632832	1h33m43s	6d
completed	cancelled	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)`	Tests	cleanup	pull_request	4639630775	51s	6d
completed	success	Enable `xattr` test for macOS	Tests	xattr-test	pull_request	4635758050	15m40s	1d
completed	cancelled	Enable `xattr` test for macOS	Tests	xattr-test	pull_request	4635751111	2m8s	6d
completed	success	Replace `makefile` with `Path.touch`	Tests	remove-makefile	pull_request	4634748400	35m6s	6d
completed	failure	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)`	Tests	cleanup	pull_request	4633151113	2h10m25s	7d
completed	cancelled	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)`	Tests	cleanup	pull_request	4633148283	27s	7d
completed	cancelled	Deprecate Python 2 silliness and use `os.makedirs(exists_ok=True)`	Tests	cleanup	pull_request	4633072184	11m9s	7d
completed	success	Deprecate `ns_cfg()` in `metadata.py`	Tests	deprecate_ns_cfg	pull_request	4632943648	1h18m25s	6d
completed	failure	`create_test.py`: Add type hints and refactor to use pathlib (#4826)	Tests	main	push	4632941813	1h30m15s	7d
completed	success	Always use the subdir defined in the package	Tests	fix-downstream-test-subdir	pull_request	4631173288	1h17m42s	5d
completed	cancelled	Deprecate `ns_cfg()` in `metadata.py`	Tests	deprecate_ns_cfg	pull_request	4630755144	1h19m31s	7d
completed	success	`create_test.py`: Add type hints and refactor to use pathlib	Tests	create_test-typing	pull_request	4630727113	1h21m35s	7d
completed	cancelled	`create_test.py`: Add type hints and refactor to use pathlib	Tests	create_test-typing	pull_request	4630724231	1m22s	7d
completed	failure	Conda index helpful changes from other PR	Tests	conda-index-helpful	pull_request	4630378376	1h35m57s	7d
completed	success	Convert `setup.py` to `pyproject.toml` using hatch build system	Tests	hatchling-build-system	pull_request	4629380852	39m32s	7d
completed	failure	Convert `setup.py` to `pyproject.toml` using hatch build system	Tests	hatchling-build-system	pull_request	4625459515	20m55s	7d
completed	failure	Use conda-index dependency instead of obsolete built-in index	Tests	conda-index	pull_request	4625237049	1h53m30s	7d
completed	failure	Convert `setup.py` to `pyproject.toml` using hatch build system	Tests	hatchling-build-system	pull_request	4625102028	20m34s	7d
completed	cancelled	Convert `setup.py` to `pyproject.toml` using hatch build system	Tests	hatchling-build-system	pull_request	4625067401	6m55s	7d
completed	cancelled	Convert `setup.py` to `pyproject.toml` using hatch build system	Tests	hatchling-build-system	pull_request	4625061774	2m10s	7d
completed	failure	Use conda-index dependency instead of obsolete built-in index	Tests	conda-index	pull_request	4623397781	1h48m17s	7d
completed	cancelled	Deprecate `ns_cfg()` in `metadata.py`	Tests	deprecate_ns_cfg	pull_request	4613096828	1m52s	7d
completed	failure	Misc. documentation fixes (#4734)	Tests	main	push	4611790933	1h34m4s	9d
completed	failure	Deprecate `ns_cfg()` in `metadata.py`	Tests	deprecate_ns_cfg	pull_request	4611558036	1h40m38s	9d
completed	success	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4608950749	1h10m55s	9d
completed	cancelled	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4608947219	57s	9d
completed	success	[pre-commit.ci] pre-commit autoupdate (#4830)	Tests	main	push	4601071532	22s	10d
completed	success	🔄 synced file(s) with conda/infrastructure (#4827)	Tests	main	push	4601069753	25s	10d
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4600510699	38s	10d
completed	success	🔄 synced file(s) with conda/infrastructure	Tests	repo-sync/infrastructure/default	pull_request	4600450222	26s	10d
completed	success	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4599785259	1h45m51s	10d
completed	cancelled	Misc. documentation fixes	Tests	command-doc-edits	pull_request	4599770480	4m35s	10d
completed	success	[pre-commit.ci] pre-commit autoupdate	Tests	pre-commit-ci-update-config	pull_request	4599296669	28s	10d
completed	failure	Deprecate `ns_cfg()` in `metadata.py`	Tests	deprecate_ns_cfg	pull_request	4578701674	57m43s	12d
